CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP%,DTH,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Aatrox,Top,150,15.4,25.8,50.5,46.7,33.8,2.5,2.2,3.7,2.8,55.5,18,0.69,13.3,9.3,-19,68,-0.1,8.7,379,23.1,259,22.9
Aatrox,Middle,22,2.3,25.8,50.5,50,32.8,2.8,1.9,3.7,3.4,58.4,18.9,0.65,18.2,9.1,54,-44,-4.2,8.5,367,22.5,262.8,21.8
Aatrox,Jungle,68,7,25.8,50.5,54.4,33.2,2.2,2,5.2,3.7,64.1,19.5,0.65,19.1,5.9,-25,79,0.7,5.6,251,14.4,196.8,17.4
Ahri,Middle,4,0.4,0.3,0.7,25,31.2,0.8,0.8,5,7.7,65.7,8.8,0.55,0,0,-84,-28,2.5,9.1,299,24,214.8,22.3
Akali,Top,81,8.3,30.3,46.9,54.3,33.3,3.2,2.3,4.1,3.2,53.8,19.2,0.76,13.6,8.6,-25,78,-1.3,8.3,394,22,257.2,22.2
Akali,Middle,81,8.3,30.3,46.9,51.9,32.7,4.2,1.8,4,4.6,62.8,15.5,0.74,9.9,3.7,-33,-38,-1.1,8.8,389,23,270.6,23.1
Alistar,Support,304,31.2,20.9,52.1,49,32.8,0.7,3,7.3,2.7,69.6,24.7,0.72,15.5,10.2,-1,-60,1.1,1.6,110,6.8,117.3,10.4
Anivia,Middle,2,0.2,0,0.2,0,30.2,0.5,2,2.5,1.5,60,13.3,0.66,0,0,-3,26,-3,9.6,274,22.3,238.1,26.5
Annie,ADC,1,0.1,0,0.2,100,44,2,2,9,5.5,73.3,22.2,0.55,0,100,-329,-211,-12,4.6,275,14,165.5,15.5
Annie,Support,1,0.1,0,0.2,0,37.1,0,6,8,1.3,72.7,24,0.97,0,0,-838,-769,-52,0.6,227,11,125.5,10.7
Ashe,ADC,94,9.6,5,14.7,55.3,32.8,3.2,1.9,5.5,4.5,71.7,18.9,0.68,16,4.3,40,8,2.2,9.7,510,28.8,298.7,25.6
Aurelion Sol,Middle,8,0.8,0.4,1.2,37.5,32,2.1,2.4,4.6,2.8,70.1,19.6,0.68,25,12.5,-86,-128,-7.3,8.1,359,26,220.2,22.8
Azir,Middle,31,3.2,1.9,5.1,41.9,34.7,3.4,1.9,4.2,4,65.7,15.1,0.69,9.7,6.5,-24,-8,-1.2,9.5,488,29.2,290.3,25.4
Bard,Support,4,0.4,0.5,0.9,75,36.2,1.3,2.5,9.8,4.4,69.8,18.5,0.81,0,0,11,77,-12.3,1.1,196,10.2,119.4,10.2
Blitzcrank,Support,6,0.6,0.2,0.8,66.7,29.7,0.7,2.3,7.3,3.4,61.5,23.3,0.78,50,0,33,-90,-14,1.5,140,7.5,125.6,10.5
Braum,Support,397,40.7,15,55.7,47.1,33.5,0.5,2.7,8,3.2,71.9,21.7,0.72,16.4,8.8,-29,-33,1.6,2,127,7.4,135,11.6
Caitlyn,ADC,20,2.1,0.8,2.9,35,32.2,2.6,2.4,4.4,2.9,63.3,18.2,0.75,5,15,-524,-309,-10,9.5,462,24.8,285.7,26.9
Camille,Top,18,1.8,15.4,24.9,27.8,32,2.9,3.4,3.2,1.8,61.5,25.5,0.73,11.1,22.2,-486,-296,-11.8,7.9,343,22.2,241.8,23.3
Camille,Jungle,75,7.7,15.4,24.9,52,32.4,2.3,2.8,5.4,2.7,65.9,24.5,0.72,33.3,2.7,-30,-190,-1.5,5,224,12.4,197.1,16.7
Cassiopeia,Top,5,0.5,35.6,43,60,33.7,2.6,1.2,3.4,5,53.6,15.8,0.56,20,0,235,97,5.7,9.3,491,33,292.8,24.2
Cassiopeia,Middle,40,4.1,35.6,43,50,33.8,2.8,2.4,5.2,3.3,68.7,19.8,0.71,7.5,5,-73,-136,1,8.6,459,27.7,249.7,23
Cassiopeia,ADC,27,2.8,35.6,43,40.7,35.9,2.9,2.2,4.3,3.2,63.3,17.3,0.67,7.4,11.1,-208,-116,-0.5,8.8,421,25.1,266.8,25.1
Cho'gath,Top,10,1,0.1,1.1,30,31.1,2.4,3.3,2.7,1.5,59.3,24.8,0.7,20,50,-354,-283,-4.6,7.6,295,20.7,226,22.4
Corki,Middle,71,7.3,4.3,11.7,45.1,33.3,3.5,2,3.5,3.5,66.5,16.1,0.69,5.6,5.6,18,27,0.8,9.8,581,34.3,299,26.4
Corki,ADC,1,0.1,4.3,11.7,100,28.7,4,0,3,7,53.8,0,0.63,0,0,-416,-95,-6,9.1,399,18,302.9,25.2
Darius,ADC,1,0.1,0.6,1.3,100,27,4,1,3,7,30.4,25,1,0,0,30,-164,6,8.5,254,13.1,276.4,20.9
Darius,Top,6,0.6,0.6,1.3,33.3,29.3,2,3.8,2.3,1.1,56.5,24.5,0.8,16.7,33.3,377,404,14.5,8.5,249,18.1,247.2,23.4
Draven,ADC,37,3.8,9.2,13,64.9,32.8,3.8,1.9,4.5,4.4,64.8,15.8,0.75,32.4,2.7,267,-67,3.3,9.4,471,26.7,342.1,28.1
Ekko,Middle,2,0.2,0.1,0.3,100,31.3,4.5,0.5,4.5,18,58.1,6.3,0.75,0,0,-32,324,1,10.8,507,25.4,356.9,24.9
Elise,Jungle,51,5.2,3.5,8.8,49,33.9,2.6,3.1,5.6,2.7,69.3,23.7,0.73,35.3,9.8,-84,-104,-3.6,5,311,17.7,198.1,17.2
Elise,Support,1,0.1,3.5,8.8,100,31,2,4,10,3,63.2,66.7,0.81,0,100,564,-486,12,1.9,143,6.3,197.6,13.5
Evelynn,Jungle,8,0.8,0.7,1.5,75,32.5,5,2.5,5,4,70.2,23.5,0.77,12.5,0,149,292,6.5,5.9,464,26.9,254.7,19.3
Ezreal,ADC,330,33.8,20.4,54.3,51.5,34,3.2,1.7,4.5,4.5,67,15.1,0.67,13,6.1,146,-3,-1.2,9.6,660,35.4,306.5,26.6
Fiddlesticks,Support,15,1.5,0.8,2.4,33.3,33.1,1,3.8,7.7,2.3,68.8,25.8,0.82,13.3,6.7,-421,142,-11.2,0.6,219,12.9,101.4,9
Fiora,Top,30,3.1,2.9,5.9,56.7,31.4,2.5,2.4,2.8,2.2,44.8,21.3,0.74,3.3,3.3,130,-20,7.4,9.7,445,24.4,305.8,25.3
Fizz,Middle,6,0.6,0.4,1,16.7,31.3,2.8,3.8,5.5,2.2,63.3,22.3,0.97,16.7,33.3,-252,-7,-14.8,7,374,20.5,222.7,20.9
Galio,Top,1,0.1,31.6,73.5,100,36.5,1,1,11,12,92.3,33.3,0.44,100,0,143,51,5,8.2,527,23,245,18.8
Galio,Middle,109,11.2,31.6,73.5,49.5,32.9,2.6,2.1,6.7,4.4,74.3,20.5,0.7,22,1.8,-162,-118,-8.1,8.3,397,23.1,238.5,21
Galio,Support,299,30.7,31.6,73.5,51.2,33.1,0.9,2.9,7.8,3,69.6,24.1,0.75,21.4,7.4,28,84,1.3,2,172,10.2,122.5,10.6
Gangplank,Top,60,6.2,8,14.2,58.3,34.6,3.2,2.3,5.7,3.9,66.7,20.5,0.71,8.3,10,49,-41,-3.7,8.1,525,29.1,289.2,24.5
Gnar,Top,11,1.1,0.2,1.3,63.6,35.4,1.5,2.2,6.1,3.5,49.1,19.2,0.76,18.2,0,-151,-174,-5.3,8.5,305,18.8,247.9,21.1
Gragas,Jungle,106,10.9,10.7,25.6,50.9,33.3,2.1,2.5,6.2,3.2,67.9,22.1,0.71,28.3,7.5,-12,8,-0.4,5,301,17.5,186.4,16.5
Gragas,Support,40,4.1,10.7,25.6,45,31.4,1.1,2.8,6.6,2.7,63.7,21.9,0.79,22.5,2.5,-213,23,-7.6,1.1,207,11.4,115.1,10.1
