CHAMPION,POSITION,GP,P%,B%,P+B%,W%,AGT,KPG,DPG,APG,KDA,KP,DTH%,CKPM,FB%,FBD%,GD10,XPD10,CSD10,CSPM,DPM,DMG%,EGPM,GOLD%
Aatrox,Top,73,0.44,0.18,0.63,0.47,34.7,2.7,2.1,3.9,3.1,0.57,0.19,0.65,0.16,0.15,50,139,2.6,8,371,0.22,248,0.23
Aatrox,Middle,2,0.01,0.18,0.63,0.50,36.2,1,2,4.5,2.8,0.61,0.13,0.68,0.00,0.00,-102,-45,-2,9,218,0.17,211.5,0.22
Akali,Top,5,0.03,0.85,0.89,0.20,32.4,1.4,1,1.4,2.8,0.48,0.09,0.52,0.20,0.00,271,108,7.8,8.2,321,0.26,214.7,0.22
Akali,Middle,1,0.01,0.85,0.89,0.00,28.8,0,2,1,0.5,0.50,0.17,0.49,0.00,1.00,-314,284,5,8.2,153,0.12,195.9,0.26
Alistar,Support,5,0.03,0.00,0.03,0.60,31.8,0.2,1.8,8.6,4.9,0.82,0.25,0.57,0.00,0.20,-112,10,-0.8,1,103,0.07,90.5,0.08
Aphelios,ADC,94,0.57,0.40,0.96,0.54,35.3,3.6,1.7,4.2,4.6,0.66,0.15,0.66,0.22,0.02,91,4,0.6,9.8,511,0.30,305.5,0.28
Ashe,ADC,3,0.02,0.02,0.04,1.00,39.9,3.7,3,9,4.2,0.75,0.27,0.71,0.33,0.00,62,-47,11.7,9.1,659,0.29,310.9,0.27
Azir,Middle,8,0.05,0.01,0.05,0.50,32.1,1.5,2.1,2.4,1.8,0.51,0.23,0.52,0.38,0.13,207,244,10.1,9.4,340,0.28,257,0.26
Bard,Support,4,0.02,0.01,0.04,0.75,37.3,0.8,1.5,6.8,5,0.67,0.22,0.48,0.25,0.00,-53,-36,-5.8,0.7,135,0.08,98.3,0.09
Blitzcrank,Support,5,0.03,0.06,0.09,0.80,40.8,0.4,3,7.2,2.5,0.59,0.30,0.56,0.40,0.00,-57,4,-1.8,0.9,127,0.08,84.2,0.08
Braum,Support,62,0.37,0.12,0.49,0.53,34.7,0.5,2.2,8,3.9,0.73,0.20,0.65,0.13,0.03,8,-17,1.4,1,121,0.08,90.4,0.09
Caitlyn,ADC,2,0.01,0.00,0.01,1.00,28.3,5.5,0,6,11.5,0.82,0.00,0.62,0.50,0.00,1041,696,31,9.8,493,0.31,314.8,0.27
Camille,Top,13,0.08,0.06,0.14,0.31,33.9,2.8,2.4,3,2.5,0.59,0.21,0.62,0.15,0.23,68,-83,0.9,8.9,367,0.25,271.7,0.26
Cassiopeia,Middle,25,0.15,0.08,0.25,0.48,34.6,3.5,2.6,5,3.3,0.66,0.23,0.7,0.08,0.08,49,24,2.8,8.6,455,0.26,267.7,0.25
Cassiopeia,ADC,2,0.01,0.08,0.25,0.00,34.2,2.5,3.5,2,1.3,0.82,0.19,0.69,0.50,0.00,-181,-361,-6,8,293,0.30,231.9,0.27
Cho'gath,Top,3,0.02,0.00,0.02,0.67,33.3,3,2.3,4,3,0.66,0.26,0.59,0.33,0.33,264,68,10,7.2,268,0.16,228.1,0.21
Corki,Middle,1,0.01,0.00,0.01,0.00,34.4,3,1,1,4,1.00,0.08,0.46,0.00,0.00,-395,0,5,9.1,482,0.33,273.7,0.33
Diana,Jungle,4,0.02,0.06,0.15,0.50,32.6,2.5,2.3,5,3.3,0.70,0.23,0.64,0.25,0.25,204,-19,-0.8,6.2,299,0.16,214.4,0.20
Diana,Middle,11,0.07,0.06,0.15,0.46,32.5,1.9,2.8,2.8,1.7,0.51,0.27,0.6,0.09,0.18,-39,-96,-5.2,8.3,281,0.22,236.1,0.23
Draven,ADC,1,0.01,0.01,0.01,0.00,38.5,2,1,5,7,0.88,0.06,0.65,0.00,0.00,1005,512,20,10.5,608,0.33,371.1,0.37
Ekko,Jungle,1,0.01,0.01,0.03,1.00,29.6,8,2,6,7,0.64,0.18,1.12,0.00,0.00,-916,-123,-11,6.1,454,0.27,276.7,0.20
Ekko,Middle,2,0.01,0.01,0.03,0.50,28.4,3,1.5,3,4,0.67,0.14,0.69,0.00,0.00,-813,-33,-11,8.1,386,0.28,229.2,0.25
Elise,Jungle,41,0.25,0.44,0.69,0.46,34.8,2.2,2.4,4.3,2.7,0.63,0.20,0.65,0.24,0.07,-107,-158,-3.2,5,268,0.16,171.1,0.16
Ezreal,ADC,14,0.08,0.01,0.09,0.43,34.7,2.7,1.6,3.3,3.7,0.63,0.16,0.56,0.07,0.07,-83,-73,-4.2,9.5,566,0.33,276.2,0.27
Fiora,Top,4,0.02,0.02,0.05,1.00,34.5,5.8,2.3,4.3,4.4,0.56,0.21,0.83,0.00,0.00,-106,-200,-9,8.7,314,0.21,272.6,0.24
Galio,Middle,2,0.01,0.01,0.02,0.50,35,2.5,0.5,4,13,0.81,0.07,0.43,0.00,0.00,79,-65,-5,8.2,295,0.20,237.1,0.22
Galio,Support,1,0.01,0.01,0.02,0.00,30.4,0,2,6,3,0.86,0.17,0.63,0.00,0.00,-291,27,9,2.1,118,0.09,83.7,0.09
Gangplank,Top,26,0.16,0.19,0.34,0.54,35.4,2.7,2,4.7,3.7,0.67,0.19,0.61,0.19,0.12,70,-136,-3.1,8.8,574,0.32,303.5,0.28
Gnar,Top,4,0.02,0.00,0.02,0.50,36.8,1.8,3,4,1.9,0.61,0.30,0.53,0.50,0.25,18,-217,-5,8.4,414,0.23,244.7,0.24
Gragas,Jungle,54,0.33,0.31,0.63,0.61,36,1.9,2.1,6.2,3.9,0.67,0.20,0.63,0.52,0.02,31,-27,-1.5,5,288,0.17,169.2,0.16
Illaoi,Top,3,0.02,0.00,0.02,0.33,36.5,2.7,4.3,3.7,1.5,0.56,0.27,0.76,0.00,0.00,-188,-193,2.7,7,573,0.28,210.7,0.22
Irelia,Top,5,0.03,0.23,0.28,0.60,35,1.8,4.2,4.4,1.5,0.60,0.34,0.65,0.20,0.40,59,-9,8.8,8.2,379,0.22,257.8,0.22
Irelia,Middle,3,0.02,0.23,0.28,0.33,34.8,2.3,3.3,2.7,1.5,0.54,0.24,0.67,-,-,-,-,-,-,-,-,-,-
Ivern,Jungle,1,0.01,0.00,0.01,0.00,32.5,0,1,0,0,#DIV/0!,0.14,0.22,0.00,0.00,48,13,2,5.5,116,0.08,143.9,0.17
